id,handle,first_name,last_name,email,street,city,state,gender_identity,real_food_affinity,luxury_brand_affinity,tech_gadget_affinity,travel_affinity,cost_per_impression
385,pvoasao,Pinchas,Voas,pvoasao@altervista.org,825 Buena Vista Parkway,Columbia,Missouri,Non-binary,0.91,0.86,0.1,0.3,88
386,rjestap,Robinson,Jest,rjestap@furl.net,81 4th Circle,Washington,District of Columbia,Non-binary,0.78,0.34,0.85,0.16,48
387,ddobrowolnyaq,Daloris,Dobrowolny,ddobrowolnyaq@wunderground.com,0266 Coolidge Park,Augusta,Georgia,Genderfluid,0.1,0.5,0.44,0.73,18
388,ddalmonar,Dave,Dalmon,ddalmonar@bravesites.com,25 Bunting Plaza,Saint Louis,Missouri,Agender,0.98,0.58,0.42,1.0,11
389,sbonnettas,Stephanus,Bonnett,sbonnettas@odnoklassniki.ru,4 Rieder Point,Sioux City,Iowa,Genderqueer,0.55,0.13,0.11,0.58,71
390,rsylvaineat,Robyn,Sylvaine,rsylvaineat@topsy.com,66 Armistice Terrace,Philadelphia,Pennsylvania,Agender,0.21,0.3,0.56,0.58,53
391,keaggerau,Kerwinn,Eagger,keaggerau@patch.com,08873 Cottonwood Street,North Little Rock,Arkansas,Male,0.66,0.14,0.47,0.87,94
392,bmacquistav,Blane,MacQuist,bmacquistav@ebay.co.uk,840 Laurel Hill,Billings,Montana,Female,0.05,0.96,0.11,0.38,65
393,gakkeraw,Gar,Akker,gakkeraw@sciencedaily.com,827 Scott Road,Washington,District of Columbia,Male,0.95,0.41,0.79,0.42,61
394,jmcgrayleax,Jerrome,McGrayle,jmcgrayleax@dot.gov,05 Forest Run Alley,Washington,District of Columbia,Genderfluid,0.84,0.37,0.9,0.54,34
395,acalveray,Allys,Calver,acalveray@unicef.org,8105 Quincy Hill,Rochester,New York,Agender,0.6,0.55,0.4,0.2,36
396,dwhallaz,Dorolisa,Whall,dwhallaz@yellowbook.com,03385 Grover Trail,Saint Petersburg,Florida,Non-binary,0.93,0.69,0.58,0.39,38
397,tjosselsonb0,Tonia,Josselson,tjosselsonb0@ted.com,611 Sloan Lane,Shawnee Mission,Kansas,Bigender,0.04,0.91,0.35,0.73,64
398,gjowlingb1,Gaby,Jowling,gjowlingb1@networksolutions.com,181 Manley Trail,Concord,California,Polygender,0.9,0.85,0.52,0.99,21
399,rlongfordb2,Rollin,Longford,rlongfordb2@youtube.com,35 Kennedy Trail,Miami,Florida,Bigender,0.4,0.78,0.11,0.54,39
400,eyakovlevb3,Emmett,Yakovlev,eyakovlevb3@wufoo.com,73759 Gerald Court,Harrisburg,Pennsylvania,Bigender,0.08,0.51,0.67,0.83,16
401,bfirminb4,Balduin,Firmin,bfirminb4@stumbleupon.com,7 Mallory Junction,Minneapolis,Minnesota,Agender,0.0,0.31,0.7,0.65,18
402,nmainwaringb5,Neila,Mainwaring,nmainwaringb5@shop-pro.jp,47 Vidon Circle,Huntington,West Virginia,Female,0.27,0.79,0.78,0.14,59
403,dsergantb6,Deidre,Sergant,dsergantb6@zimbio.com,41 Lotheville Crossing,Washington,District of Columbia,Agender,0.32,0.9,0.31,0.51,33
404,ayeliashevb7,Arne,Yeliashev,ayeliashevb7@weebly.com,69 Dawn Alley,Charlotte,North Carolina,Bigender,0.99,0.79,0.07,0.34,53
405,josherinb8,Jonah,O'Sherin,josherinb8@hhs.gov,7860 Fordem Place,Spokane,Washington,Genderqueer,0.63,0.67,0.13,0.29,86
406,zstitsonb9,Zollie,Stitson,zstitsonb9@yahoo.co.jp,3973 Lakeland Parkway,Long Beach,California,Genderfluid,0.26,0.93,0.39,0.74,3
407,cquibellba,Corella,Quibell,cquibellba@stanford.edu,93926 Del Sol Terrace,Sacramento,California,Female,0.93,0.14,0.38,0.37,10
408,dgiovannaccibb,Daisie,Giovannacc@i,dgiovannaccibb@twitpic.com,17 Michigan Pass,Jacksonville,Florida,Bigender,0.32,0.52,0.25,0.94,50
409,ateasdalemarkiebc,Alvie,Teasdale-Markie,ateasdalemarkiebc@phoca.cz,946 1st Parkway,Augusta,Georgia,Polygender,0.19,0.98,0.66,0.67,98
410,amelbournebd,Alfonse,Melbourne,amelbournebd@si.edu,35656 Ronald Regan Parkway,Wichita,Kansas,Bigender,0.08,0.53,0.61,0.81,10
411,aayscoughbe,Ashla,Ayscough,aayscoughbe@technorati.com,888 Myrtle Road,Fort Myers,Florida,Non-binary,0.12,0.09,0.57,0.88,70
412,wleaverbf,West,Leaver,wleaverbf@moonfruit.com,1 Lighthouse Bay Road,Phoenix,Arizona,Genderfluid,0.44,0.46,0.54,0.34,100
413,asimonsenbg,Ax,Simonsen,asimonsenbg@storify.com,9037 Springview Terrace,Nashville,Tennessee,Genderfluid,0.68,0.51,0.74,0.75,87
414,midwalevansbh,Marlane,Idwal Evans,midwalevansbh@dyndns.org,64779 Novick Lane,Newport News,Virginia,Male,0.42,0.12,0.45,1.0,84
415,eriochbi,Errol,Rioch,eriochbi@earthlink.net,4 Saint Paul Center,New York City,New York,Genderfluid,0.36,0.19,0.65,0.24,4
416,alefeuvrebj,Ava,Le feuvre,alefeuvrebj@artisteer.com,050 Crescent Oaks Point,Pinellas Park,Florida,Agender,0.43,0.07,0.57,0.27,44
417,sattestonebk,Shep,Atte-Stone,sattestonebk@clickbank.net,578 American Ash Drive,Odessa,Texas,Polygender,0.63,0.81,0.68,0.18,12
418,rfairnbl,Regina,Fairn,rfairnbl@ucoz.ru,9 Warrior Place,Louisville,Kentucky,Polygender,0.23,0.37,0.2,0.36,91
419,jcabrarabm,Jennette,Cabrara,jcabrarabm@tumblr.com,408 Harper Plaza,Dallas,Texas,Non-binary,0.78,0.75,0.73,0.15,31
420,gbestimanbn,Gordy,Bestiman,gbestimanbn@parallels.com,4 Messerschmidt Alley,Des Moines,Iowa,Polygender,0.83,0.54,0.52,0.82,80
421,aadlambo,Anderson,Adlam,aadlambo@theatlantic.com,549 Washington Junction,Indianapolis,Indiana,Male,0.88,0.14,0.28,0.21,28
422,sedsonbp,Sallyanne,Edson,sedsonbp@taobao.com,7 Farmco Road,New Orleans,Louisiana,Bigender,0.77,0.71,0.24,0.44,73
423,kbonifaziobq,Ki,Bonifazio,kbonifaziobq@fotki.com,83143 Commercial Street,Loretto,Minnesota,Polygender,0.16,0.98,0.94,0.01,78
424,mvareybr,Marcel,Varey,mvareybr@over-blog.com,4 North Junction,Little Rock,Arkansas,Genderfluid,0.54,0.75,0.61,0.62,95
425,rchatellbs,Ronalda,Chatell,rchatellbs@1688.com,7969 Butterfield Avenue,Pittsburgh,Pennsylvania,Bigender,0.5,0.49,0.27,0.87,82
426,smcmeylerbt,Sander,McMeyler,smcmeylerbt@hibu.com,99869 Mallard Circle,Fort Pierce,Florida,Genderqueer,0.76,0.51,0.91,0.32,36
427,bfeakinsbu,Bill,Feakins,bfeakinsbu@qq.com,202 Dakota Junction,Los Angeles,California,Polygender,0.66,0.6,0.89,0.15,64
428,etinlinebv,Ettore,Tinline,etinlinebv@constantcontact.com,9658 Farmco Court,Saint Petersburg,Florida,Polygender,0.63,0.32,0.66,0.7,76
429,eolunnybw,Emmott,O'Lunny,eolunnybw@printfriendly.com,974 Eagan Street,Greensboro,North Carolina,Polygender,0.8,0.42,0.15,0.62,66
430,jvanderbeekbx,Jocko,Van der Beek,jvanderbeekbx@psu.edu,76 Meadow Valley Alley,Harrisburg,Pennsylvania,Agender,0.25,0.74,0.03,0.53,35
432,sdepietribz,Shaw,De Pietri,sdepietribz@biglobe.ne.jp,8 Harbort Terrace,Lexington,Kentucky,Polygender,0.52,0.39,0.01,0.44,76
433,amckinnonc0,Aggi,McKinnon,amckinnonc0@nasa.gov,52479 Novick Crossing,Jamaica,New York,Female,0.38,0.76,0.54,0.02,8
434,afavellec1,Amelia,Favelle,afavellec1@reuters.com,48 Hagan Court,Washington,District of Columbia,Genderfluid,0.83,0.5,0.59,0.62,3
436,adavidofskic3,Austina,Davidofski,adavidofskic3@wordpress.com,58874 7th Avenue,Longview,Texas,Female,0.66,0.56,0.95,0.08,11
437,csymmonsc4,Chrissy,Symmons,csymmonsc4@state.tx.us,57 Bluejay Avenue,Roanoke,Virginia,Polygender,0.69,0.52,0.04,0.1,51
438,lhathwoodc5,Lewie,Hathwood,lhathwoodc5@rambler.ru,158 Westerfield Place,Nashville,Tennessee,Bigender,0.44,0.58,0.48,0.22,22
439,gsamwaysc6,Gloriana,Samways,gsamwaysc6@oracle.com,4991 Hermina Point,Denton,Texas,Polygender,0.69,0.03,0.16,0.45,62
440,mboddiec7,Moise,Boddie,mboddiec7@google.com.br,7017 Scott Place,Port Charlotte,Florida,Male,0.38,0.67,0.55,0.19,88
442,bdranc9,Boy,Dran,bdranc9@wired.com,63 Badeau Lane,New Orleans,Louisiana,Polygender,0.04,0.36,0.77,0.6,54
443,dgovinica,Danie,Govini,dgovinica@state.gov,5 Debra Drive,Kansas City,Missouri,Agender,0.26,0.66,0.89,0.8,7
444,galbrookcb,Gretna,Albrook,galbrookcb@google.es,90317 Morning Circle,New York City,New York,Genderqueer,0.93,0.11,0.01,0.91,5
445,cpordallcc,Conchita,Pordall,cpordallcc@statcounter.com,4 Park Meadow Avenue,Washington,District of Columbia,Female,0.35,0.89,0.36,0.45,42
446,pmenerecd,Patience,Menere,pmenerecd@reference.com,2368 Michigan Center,Fresno,California,Non-binary,0.35,0.56,0.24,0.72,43
447,bruslingce,Broddie,Rusling,bruslingce@rakuten.co.jp,3 West Park,Boise,Idaho,Male,0.63,0.43,0.13,0.88,38
448,sviggarscf,Shanda,Viggars,sviggarscf@uiuc.edu,4 Grover Junction,Las Vegas,Nevada,Non-binary,0.53,0.74,0.5,0.4,86
449,lsachcg,Lanae,Sach,lsachcg@shutterfly.com,51 Mosinee Terrace,Dayton,Ohio,Non-binary,0.46,0.79,0.83,0.02,10
450,amcshanech,Aura,McShane,amcshanech@wiley.com,0 Northridge Parkway,Bethlehem,Pennsylvania,Genderfluid,0.12,0.75,0.6,0.47,40
451,imcvittyci,Irving,McVitty,imcvittyci@unesco.org,99 Holy Cross Road,Spokane,Washington,Bigender,0.68,0.79,0.4,0.26,38
452,dburchmorecj,Dulcine,Burchmore,dburchmorecj@bbb.org,8757 Warrior Trail,Minneapolis,Minnesota,Genderqueer,0.82,0.94,0.69,0.19,24
453,npetrussick,Neda,Petrussi,npetrussick@histats.com,399 Towne Drive,Miami,Florida,Genderfluid,0.17,0.9,0.8,0.01,87
454,gskellycl,Garvin,Skelly,gskellycl@discovery.com,5426 Sloan Point,Kansas City,Missouri,Genderfluid,0.08,0.52,0.45,0.14,61
455,sgwatkinscm,Sally,Gwatkins,sgwatkinscm@livejournal.com,33 Ridgeview Road,Oklahoma City,Oklahoma,Genderqueer,0.81,0.04,0.83,0.31,88
456,emebiuscn,Eziechiele,Mebius,emebiuscn@mozilla.com,936 Luster Parkway,Dayton,Ohio,Polygender,0.22,0.45,0.26,0.91,96
457,tgleetonco,Thornton,Gleeton,tgleetonco@privacy.gov.au,44 Prairieview Street,San Bernardino,California,Genderqueer,0.91,0.72,0.1,0.62,48
458,grisingcp,Gay,Rising,grisingcp@google.com.hk,071 Truax Hill,Hartford,Connecticut,Bigender,0.12,0.14,0.59,0.78,43
459,vbonafacinocq,Vale,Bonafacino,vbonafacinocq@behance.net,67 Boyd Road,Cedar Rapids,Iowa,Genderfluid,0.27,0.06,0.13,0.71,11
460,anancarrowcr,Ashien,Nan Carrow,anancarrowcr@house.gov,8513 Schlimgen Crossing,San Bernardino,California,Bigender,0.82,0.51,0.68,0.41,100
461,nhuecs,Nanni,Hue,nhuecs@nytimes.com,5 Sloan Street,Hartford,Connecticut,Bigender,0.41,0.56,0.31,0.53,58
462,sbadgerct,Simeon,Badger,sbadgerct@wsj.com,768 Sheridan Street,Columbus,Georgia,Bigender,0.02,0.49,0.7,0.2,48
463,dtillettcu,Desmond,Tillett,dtillettcu@dion.ne.jp,50103 Main Park,Atlanta,Georgia,Genderfluid,0.46,0.86,0.47,0.73,14
464,shaimescv,Sam,Haimes,shaimescv@goo.ne.jp,0969 Fairview Way,Austin,Texas,Genderfluid,0.76,0.3,0.66,0.64,15
466,awheatcroftcx,Akim,Wheatcroft,awheatcroftcx@de.vu,0 Fair Oaks Drive,Des Moines,Iowa,Female,0.36,0.38,0.56,0.44,91
467,desleycy,Drusilla,Esley,desleycy@reference.com,049 Esker Hill,Fayetteville,North Carolina,Male,0.84,0.73,0.71,0.67,8
468,gmcawcz,Graeme,McAw,gmcawcz@blogs.com,33 Manley Parkway,Lansing,Michigan,Genderfluid,0.76,0.04,0.5,0.23,37
469,pcheccuzzid0,Portie,Checcuzzi,pcheccuzzid0@scientificamerican.com,06 Grim Pass,Houston,Texas,Agender,0.4,0.6,0.54,0.07,69
470,zstationd1,Zak,Station,zstationd1@about.me,2531 Kennedy Place,Tucson,Arizona,Non-binary,0.51,0.79,0.68,0.75,41
471,smundeed2,Scottie,Mundee,smundeed2@list-manage.com,3 Maple Wood Crossing,Los Angeles,California,Agender,0.52,0.45,0.25,0.23,47
472,bmacgibbond3,Bamby,MacGibbon,bmacgibbond3@time.com,099 Grasskamp Park,Dallas,Texas,Non-binary,0.98,0.18,0.77,0.22,29
473,fsparksd4,Fraze,Sparks,fsparksd4@elegantthemes.com,84 Butternut Trail,Sacramento,California,Genderqueer,0.86,0.06,0.52,0.95,9
474,sdimitrescud5,Shirley,Dimitrescu,sdimitrescud5@pen.io,5281 Monica Way,Cleveland,Ohio,Non-binary,0.09,0.54,0.07,0.99,79
475,cquaifed6,Chelsea,Quaife,cquaifed6@prlog.org,22 Northland Park,Scranton,Pennsylvania,Female,0.19,0.87,0.89,0.27,66
477,mstockalld8,Morlee,Stockall,mstockalld8@squidoo.com,250 Pawling Way,Honolulu,Hawaii,Non-binary,0.15,0.94,0.2,0.6,32
478,fswanboroughd9,Frederic,Swanborough,fswanboroughd9@umich.edu,7884 8th Trail,New Castle,Pennsylvania,Bigender,0.67,0.35,0.13,0.52,98
479,vreinertda,Vally,Reinert,vreinertda@ustream.tv,873 Village Green Place,Houston,Texas,Genderfluid,0.15,0.94,0.42,0.31,55
480,fbriattdb,Flory,Briatt,fbriattdb@typepad.com,89184 Rutledge Hill,Austin,Texas,Agender,0.33,0.64,0.33,0.94,53
481,bhuckledc,Brett,Huckle,bhuckledc@geocities.jp,371 Lawn Lane,Houston,Texas,Female,0.88,0.95,0.75,0.7,60
482,mmcowisdd,Mar,M'cowis,mmcowisdd@pinterest.com,91967 Russell Park,Hartford,Connecticut,Agender,0.29,0.72,0.14,0.32,20
483,edepaolide,Egor,De Paoli,edepaolide@youku.com,9051 Dawn Hill,Bronx,New York,Genderfluid,0.58,0.44,0.67,0.51,100
484,eyushachkovdf,Ezri,Yushachkov,eyushachkovdf@sbwire.com,7 Del Sol Street,New Castle,Pennsylvania,Genderfluid,0.27,0.35,0.02,0.62,15
485,jbalmadg,Janean,Balma,jbalmadg@woothemes.com,3863 Ridgeway Alley,Buffalo,New York,Non-binary,0.27,0.5,0.82,0.12,100
486,mproudlerdh,Mickie,Proudler,mproudlerdh@zimbio.com,0 Oneill Road,Boise,Idaho,Male,0.37,0.45,0.32,0.95,23
487,lstranahandi,Lorene,Stranahan,lstranahandi@gravatar.com,4 Myrtle Alley,Vero Beach,Florida,Male,0.3,0.55,0.37,0.31,74
488,lrozeadj,Lee,Rozea,lrozeadj@themeforest.net,56051 Mandrake Trail,Chicago,Illinois,Polygender,0.56,0.16,0.56,0.74,40
489,rtreslerdk,Ruy,Tresler,rtreslerdk@java.com,3 Milwaukee Terrace,Indianapolis,Indiana,Bigender,0.06,0.58,0.66,0.96,20
490,jroddendl,Jard,Rodden,jroddendl@blinklist.com,259 Lotheville Trail,Phoenix,Arizona,Male,0.39,0.22,0.54,0.4,33
491,dpickerelldm,Duffy,Pickerell,dpickerelldm@nationalgeographic.com,5337 Redwing Place,Pittsburgh,Pennsylvania,Genderfluid,0.3,0.47,0.15,0.47,31
492,dbeininckdn,Del,Beininck,dbeininckdn@google.fr,21513 Sheridan Crossing,Miami,Florida,Agender,0.49,0.8,0.97,0.24,80
493,segentando,Scotti,Egentan,segentando@nationalgeographic.com,684 La Follette Point,Charleston,West Virginia,Non-binary,0.62,0.5,0.0,0.33,61
494,gnaisbittdp,Gertrud,Naisbitt,gnaisbittdp@about.me,06202 Stoughton Avenue,Beaverton,Oregon,Male,0.38,0.59,0.51,0.29,79
495,mgormallydq,Morly,Gormally,mgormallydq@yale.edu,9 Russell Pass,Garden Grove,California,Female,0.19,0.58,0.31,0.07,90
496,wkirkwooddr,Wendi,Kirkwood,wkirkwooddr@netlog.com,94 Starling Terrace,Kansas City,Kansas,Bigender,0.08,0.59,0.09,0.39,49
497,qbuxamds,Quentin,Buxam,qbuxamds@lulu.com,653 Granby Junction,Aurora,Colorado,Female,0.71,0.52,0.86,0.1,27
498,kmansourdt,Karlis,Mansour,kmansourdt@xing.com,96 Village Parkway,Torrance,California,Female,0.65,0.98,0.07,0.03,47
499,gfelkindu,Giovanni,Felkin,gfelkindu@goodreads.com,0 Carey Plaza,Buffalo,New York,Female,0.85,0.62,0.87,0.3,0
500,jkohnertdv,Julita,Kohnert,jkohnertdv@bizjournals.com,7295 Graceland Plaza,San Diego,California,Bigender,0.31,0.08,0.11,0.84,50
502,sstokesdx,Shaylyn,Stokes,sstokesdx@usnews.com,538 Sunfield Circle,York,Pennsylvania,Genderqueer,0.48,0.86,0.93,0.16,34
503,agambledy,Anna-diane,Gamble,agambledy@home.pl,012 Jay Avenue,Fort Worth,Texas,Non-binary,0.69,0.55,0.65,0.17,89
504,abarthoddz,Alexandra,Barthod,abarthoddz@berkeley.edu,868 Alpine Road,Grand Rapids,Michigan,Female,0.42,0.36,0.45,0.29,68
507,fbroue2,Flint,Brou,fbroue2@imgur.com,09 Arizona Trail,Fort Worth,Texas,Non-binary,0.19,0.8,0.76,0.49,94
508,hgaytore3,Hilde,Gaytor,hgaytore3@people.com.cn,001 Jana Road,New York City,New York,Male,0.19,0.45,0.52,0.32,3
509,hseabone4,Hasheem,Seabon,hseabone4@chicagotribune.com,41210 Merrick Place,Raleigh,North Carolina,Female,0.77,0.67,0.16,0.35,36
510,zferrieroie5,Zahara,Ferrieroi,zferrieroie5@storify.com,4106 Oak Valley Place,Columbia,South Carolina,Genderfluid,0.16,0.24,0.84,0.46,10
511,maneleye6,Meryl,Aneley,maneleye6@homestead.com,48 Pleasure Terrace,New Orleans,Louisiana,Male,0.74,0.79,0.47,0.83,98
512,tsimenete7,Ty,Simenet,tsimenete7@domainmarket.com,962 Oak Place,Clearwater,Florida,Polygender,0.8,0.39,0.0,0.66,88
513,cmasdinge8,Cal,Masding,cmasdinge8@smugmug.com,8 Dorton Lane,Corpus Christi,Texas,Genderqueer,0.14,0.84,0.19,0.89,4
514,ctullote9,Cariotta,Tullot,ctullote9@disqus.com,797 Green Hill,Boston,Massachusetts,Genderqueer,0.56,0.9,0.68,0.26,19
515,mcarmanea,Margette,Carman,mcarmanea@elegantthemes.com,54 Basil Place,Newark,New Jersey,Female,0.17,0.35,0.35,0.13,13
516,arudeyeardeb,Aubrey,Rudeyeard,arudeyeardeb@loc.gov,309 Luster Trail,Cedar Rapids,Iowa,Genderfluid,0.35,0.51,0.38,0.06,25
517,nhunnaballec,Netti,Hunnaball,nhunnaballec@barnesandnoble.com,70 Meadow Valley Road,North Las Vegas,Nevada,Female,0.5,0.73,0.99,0.36,29
518,kchristofored,Kingsly,Christofor,kchristofored@walmart.com,809 Spenser Center,Northridge,California,Agender,0.88,0.94,0.15,0.71,30
519,ebramptonee,Emelina,Brampton,ebramptonee@archive.org,6 Welch Way,North Port,Florida,Genderfluid,0.2,0.01,0.84,0.56,74
520,sreaceef,Sheba,Reace,sreaceef@nps.gov,703 Fallview Crossing,Scottsdale,Arizona,Agender,0.38,0.15,0.55,0.32,91
521,wembletoneg,Wynn,Embleton,wembletoneg@telegraph.co.uk,03662 Oak Valley Terrace,Lehigh Acres,Florida,Bigender,0.57,0.18,0.64,0.95,54
522,fkhidreh,Fletch,Khidr,fkhidreh@go.com,325 Tony Avenue,Washington,District of Columbia,Non-binary,0.53,0.14,0.91,0.37,54
523,rroyansei,Randy,Royans,rroyansei@google.de,001 Hooker Park,Charlotte,North Carolina,Male,0.79,0.64,0.93,0.74,14
524,gdelayglesiasej,Gerda,De la Yglesias,gdelayglesiasej@tamu.edu,98 Carioca Plaza,Wichita,Kansas,Male,0.11,0.93,0.86,0.61,21
525,wcarnelleyek,Wyn,Carnelley,wcarnelleyek@pagesperso-orange.fr,78544 John Wall Lane,Dayton,Ohio,Genderfluid,0.24,0.6,0.79,0.04,1
526,wbanfillel,Wakefield,Banfill,wbanfillel@cnet.com,045 Summer Ridge Parkway,Arlington,Virginia,Non-binary,0.1,0.52,0.27,0.79,93
527,tslyfordem,Tommie,Slyford,tslyfordem@pbs.org,513 Dexter Circle,Columbus,Ohio,Genderqueer,0.67,0.81,0.81,0.13,16
529,obruckeo,Oberon,Bruck,obruckeo@fda.gov,30503 Surrey Circle,Vienna,Virginia,Genderqueer,0.55,0.68,0.03,0.27,84
530,htythertonep,Hyacintha,Tytherton,htythertonep@tamu.edu,420 Roxbury Drive,Orlando,Florida,Non-binary,0.59,0.67,0.7,0.53,18
532,nassarder,Nerita,Assard,nassarder@omniture.com,8009 New Castle Court,Charlotte,North Carolina,Non-binary,0.15,0.88,0.2,0.54,25
533,tmyerses,Tresa,Myers,tmyerses@auda.org.au,72 Dunning Court,Bakersfield,California,Bigender,0.35,0.97,0.74,0.15,60
534,ladriaanet,Leon,Adriaan,ladriaanet@weather.com,89 Rieder Terrace,Terre Haute,Indiana,Agender,0.18,0.63,0.46,0.69,61
535,sshurmereu,Seumas,Shurmer,sshurmereu@umn.edu,19 Sugar Way,Schenectady,New York,Genderfluid,0.94,0.91,0.09,0.66,5
536,aingleseev,Aurie,Inglese,aingleseev@xing.com,085 Eliot Terrace,Morgantown,West Virginia,Female,0.74,0.61,0.01,0.54,57
537,lmacerew,Lionel,Macer,lmacerew@topsy.com,895 Hagan Road,Pasadena,California,Non-binary,0.01,0.3,0.14,0.13,64
538,megeex,Maxy,Ege,megeex@businessweek.com,9 Haas Lane,San Diego,California,Female,0.94,0.21,0.3,0.27,53
539,vgiovanettiey,Verine,Giovanetti,vgiovanettiey@purevolume.com,4 Loeprich Parkway,New Orleans,Louisiana,Genderqueer,0.89,0.76,0.6,0.45,91
540,lgoldsbroughez,Lynna,Goldsbrough,lgoldsbroughez@woothemes.com,20 Farmco Hill,Omaha,Nebraska,Non-binary,0.17,0.53,0.27,0.02,12
541,lbewseyf0,Loria,Bewsey,lbewseyf0@nps.gov,290 Spohn Avenue,Las Cruces,New Mexico,Agender,0.61,0.63,0.89,0.38,79
542,cstockleyf1,Charmine,Stockley,cstockleyf1@cargocollective.com,3310 Comanche Terrace,Boulder,Colorado,Genderfluid,0.4,0.82,0.02,0.67,69
543,cwartonbyf2,Cornela,Wartonby,cwartonbyf2@netlog.com,2 Bunting Avenue,Zephyrhills,Florida,Non-binary,0.53,0.21,0.6,0.13,29
544,carnetf3,Carlen,Arnet,carnetf3@engadget.com,34 Old Shore Way,Evansville,Indiana,Agender,0.21,0.8,0.83,0.88,88
545,mschimankf4,Markus,Schimank,mschimankf4@dagondesign.com,67998 Twin Pines Pass,Chicago,Illinois,Male,0.83,0.25,0.81,0.48,70
546,rkalderonf5,Rosella,Kalderon,rkalderonf5@princeton.edu,03912 Namekagon Drive,Orlando,Florida,Agender,0.89,0.19,0.66,0.13,43
547,hmcgrannf6,Husain,McGrann,hmcgrannf6@hostgator.com,0 Express Street,Newton,Massachusetts,Genderfluid,0.25,0.19,0.4,0.99,73
548,ssleithf7,Sheffy,Sleith,ssleithf7@nifty.com,0814 Hallows Way,Washington,District of Columbia,Polygender,0.89,0.21,0.75,0.31,70
549,agooldenf8,Amitie,Goolden,agooldenf8@redcross.org,648 Maple Wood Hill,Shawnee Mission,Kansas,Female,0.38,0.05,0.15,0.28,88
550,kshayesf9,Kanya,Shayes,kshayesf9@sfgate.com,82527 Elmside Court,Washington,District of Columbia,Non-binary,0.29,0.44,0.6,0.61,90
551,pwiggansfa,Padgett,Wiggans,pwiggansfa@earthlink.net,56184 Northview Crossing,Greenville,South Carolina,Bigender,0.4,0.49,0.92,0.79,17
552,aklinefb,Andre,Kline,aklinefb@opensource.org,8 Cherokee Circle,Bronx,New York,Genderfluid,0.28,0.38,0.68,0.39,53
553,achiswellfc,Amelie,Chiswell,achiswellfc@bizjournals.com,7 Talmadge Center,Fresno,California,Bigender,0.71,0.01,0.1,0.88,70
554,glotheringtonfd,Garvey,Lotherington,glotheringtonfd@hatena.ne.jp,99918 Marcy Avenue,Chicago,Illinois,Genderqueer,0.26,0.94,0.13,0.44,42
555,rritchingsfe,Rachele,Ritchings,rritchingsfe@ed.gov,05631 Novick Point,Grand Rapids,Michigan,Bigender,0.47,0.35,0.37,0.47,48
556,mnozzoliiff,Millie,Nozzolii,mnozzoliiff@nyu.edu,5258 Mitchell Alley,Hartford,Connecticut,Female,0.82,0.32,0.34,0.37,10
557,vzanettifg,Vernice,Zanetti,vzanettifg@themeforest.net,763 Harbort Avenue,Washington,District of Columbia,Genderfluid,0.27,0.01,0.89,0.9,65
558,rroscriggfh,Raimund,Roscrigg,rroscriggfh@addthis.com,51 Melby Park,Roanoke,Virginia,Non-binary,0.15,0.76,0.22,0.28,13
559,cbarnwallfi,Cathy,Barnwall,cbarnwallfi@51.la,1112 Sloan Circle,Tucson,Arizona,Bigender,0.43,0.1,0.43,0.23,28
560,jcolecroughfj,Joscelin,Colecrough,jcolecroughfj@skype.com,84 Lotheville Street,Lincoln,Nebraska,Female,0.48,0.91,0.09,0.15,38
561,bferreresfk,Bartie,Ferreres,bferreresfk@columbia.edu,0172 Meadow Valley Avenue,Louisville,Kentucky,Agender,0.37,0.91,0.43,0.72,35
562,smalecfl,Svend,Malec,smalecfl@chicagotribune.com,27 Bunker Hill Drive,Honolulu,Hawaii,Bigender,0.54,0.31,0.28,0.36,49
563,hpomfreyfm,Haleigh,Pomfrey,hpomfreyfm@engadget.com,58 Morning Lane,El Paso,Texas,Female,0.98,0.88,0.85,0.31,43
565,ccoskerfo,Cheslie,Cosker,ccoskerfo@desdev.cn,432 International Court,Melbourne,Florida,Genderqueer,0.49,0.5,0.56,0.22,13
566,ichildesfp,Ibbie,Childes,ichildesfp@weather.com,3891 Graceland Circle,Stockton,California,Non-binary,0.68,0.89,0.6,0.27,47
567,jmerrellfq,Judy,Merrell,jmerrellfq@scientificamerican.com,79609 Miller Park,Texarkana,Texas,Polygender,0.74,0.76,0.21,0.72,85
569,ltruswellfs,Lek,Truswell,ltruswellfs@macromedia.com,33483 Schmedeman Parkway,El Paso,Texas,Non-binary,0.93,0.0,0.05,0.5,9
570,zvongladbachft,Zachary,Von Gladbach,zvongladbachft@google.nl,024 Carioca Alley,Phoenix,Arizona,Non-binary,0.94,0.94,0.35,0.29,88
572,gcommuccifv,Giffy,Commucci,gcommuccifv@nytimes.com,3392 Declaration Crossing,Carlsbad,California,Bigender,0.65,0.5,0.28,0.75,82
573,ktalbotfw,Karlie,Talbot,ktalbotfw@unblog.fr,045 Fisk Trail,Atlanta,Georgia,Genderqueer,0.48,0.46,0.7,0.36,64
574,hwisemanfx,Harri,Wiseman,hwisemanfx@unicef.org,073 Utah Circle,Riverside,California,Agender,0.16,0.09,0.21,0.82,0
575,smckeighanfy,Sybila,McKeighan,smckeighanfy@so-net.ne.jp,74 American Park,Las Cruces,New Mexico,Polygender,0.86,0.77,0.77,0.06,40
